series_name,p,nobs_train,innovation_variance,aic,bic
logistic_noise_small,36,6600,0.995854129094,46.5803735481,297.988895885
logistic_noise_small,37,6600,0.995838269633,48.4752645043,306.678611769
logistic_noise_small,38,6600,0.995827004758,50.4006051933,315.398777386
logistic_noise_small,39,6600,0.995789803432,52.1540429574,323.947040078
logistic_noise_small,40,6600,0.99527596616,50.7474994597,329.335321508
logistic_noise_small,41,6600,0.995185460174,52.1472974204,337.529944397
logistic_noise_small,42,6600,0.994746739547,51.2370915468,343.414563451
logistic_noise_small,43,6600,0.994731187403,53.1339045247,352.106201357
logistic_noise_small,44,6600,0.994121529081,51.087606862,356.854728623
logistic_noise_small,45,6600,0.994121504455,53.0874433666,365.649390055
logistic_noise_small,46,6600,0.994093363369,54.9006112796,374.257382896
logistic_noise_small,47,6600,0.993803709978,54.9772597978,381.128856342
logistic_noise_small,48,6600,0.993247370743,53.2814926558,386.227914129
logistic_noise_small,49,6600,0.993174159951,54.7949985046,394.536244905
logistic_noise_small,50,6600,0.992415734204,51.7530609056,398.289132234
logistic_noise_small,51,6600,0.992380832851,53.5209475117,406.851843769
logistic_noise_small,52,6600,0.992172621565,54.1360571375,414.261778322
logistic_noise_small,53,6600,0.991875871327,54.1617590365,421.082305149
logistic_noise_small,54,6600,0.991689644349,54.922477499,428.63784854
logistic_noise_small,55,6600,0.991687359295,56.9072697424,437.417465711
logistic_noise_small,56,6600,0.991585461183,58.2290700222,445.534090919
logistic_noise_small,57,6600,0.991584381923,60.2218864533,454.321732278
logistic_noise_small,58,6600,0.991083470734,58.8869719179,459.781642671
logistic_noise_small,59,6600,0.991082716486,60.881949097,468.571444778
logistic_noise_small,60,6600,0.991082454999,62.8802077523,477.364528361
logistic_noise_small,61,6600,0.991030685615,64.5354464703,485.814592007
logistic_noise_small,62,6600,0.990954364679,66.0271498244,494.101120289
logistic_noise_small,63,6600,0.990951415112,68.0075049494,502.876300342
logistic_noise_small,64,6600,0.990787559701,68.916094096,510.579714417
logistic_noise_small,65,6600,0.990709366092,70.3951971774,518.853642426
logistic_noise_small,66,6600,0.990669784713,72.1315049899,527.384775167
logistic_noise_small,67,6600,0.990669758819,74.1313324816,536.179427587
logistic_noise_small,68,6600,0.990646201047,75.9743849773,544.81730501
logistic_noise_small,69,6600,0.990645778809,77.9715718927,553.609316854
logistic_noise_small,70,6600,0.990587929971,79.5861531257,562.018723015
logistic_noise_small,71,6600,0.99057774188,81.5182724785,570.745667296
logistic_noise_small,72,6600,0.990577086309,83.5139045537,579.536124299
logistic_noise_small,73,6600,0.99017372642,82.82585789,585.642902563
logistic_noise_small,74,6600,0.990165491311,84.7709665724,594.382836174
logistic_noise_small,75,6600,0.990154427595,86.6972203807,603.10391491
logistic_noise_small,76,6600,0.990146642127,88.6453251506,611.846844608
logistic_noise_small,77,6600,0.990122582737,90.4849510241,620.481295409
logistic_noise_small,78,6600,0.990059856487,92.0668145528,628.857983866
